0	2
0	1
0	3
1	0
0	4
2	0
0	5
1	1
0	6
2	1
3	0
1	2
0	7
3	1
0	8
2	2
4	1
4	0
1	3
0	0
3	2
1	4
5	1
0	9
5	0
4	2
2	3
1	5
5	2
6	1
3	3
2	4
0	10
1	6
7	1
3	4
0	11
6	0
6	2
4	3
4	4
1	7
8	1
0	12
5	3
5	4
7	0
3	5
4	5
2	6
2	5
7	2
0	13
6	3
3	6
7	3
1	9
3	7
8	2
1	8
9	1
7	4
8	0
2	7
5	6
10	1
6	4
9	2
5	5
12	1
0	15
4	7
3	9
0	14
4	8
11	1
6	5
8	3
5	7
6	6
4	6
10	2
2	8
3	8
7	5
3	10
1	10
0	17
10	3
11	2
8	4
9	3
11	3
2	10
6	8
8	5
9	0
0	16
1	12
2	9
0	18
14	1
10	0
9	7
6	7
9	5
1	13
0	19
10	6
10	4
4	10
9	4
5	9
7	6
7	8
13	1
2	11
11	5
7	7
4	9
12	3
10	7
8	6
8	9
6	9
1	11
10	8
13	0
9	6
3	12
5	8
2	13
4	11
5	10
3	14
11	0
2	12
9	10
0	20
11	7
8	8
5	12
4	13
11	4
13	3
12	6
12	0
2	14
8	7
3	11
